code,name,pop_dens,total_pop,country_percentage
AR-B,Buenos Aires,"44,95",13827203,"38,13"
AR-C,CABA,"13743,26",2776138,"7,66"
AR-A,Salta,"7,81",1522304,"3,03"
AR-X,Córdoba,"20,01",3001455,"8,25"
AR-R,Río Negro,"3,14",638645,"1,59"
AR-U,Chubut,"2,26",618994,"1,27"
AR-Z,Santa Cruz,"1,12",273964,"0,68"
AR-K,Catamarca,"3,58",367828,"0,92"
AR-S,Santa Fe,"24,02",3194537,"7,96"
AR-G,Santiago del Estero,"6,41",874006,"2,18"
AR-L,La Pampa,"2,22",318951,"0,80"
AR-M,Mendoza,"11,68",1738929,"4,33"
AR-H,Chaco,"10,59",1055259,"2,63"
AR-Q,Neuquén,"5,86",551266,"1,37"
AR-F,La Rioja,"3,72",333642,"0,83"
AR-J,San Juan,"7,59",681055,"1,70"
AR-W,Corrientes,"11,25",992595,"2,47"
AR-P,Formosa,"7,35",530162,"1,32"
AR-E,Entre Ríos,"15,68",1235994,"3,08"
AR-D,San Luis,"5,63",432310,"1,08"
AR-Y,Jujuy,"12,65",880543,"1,68"
AR-N,Misiones,"36,96",1101593,"2,75"
AR-T,Tucumán,"64,29",2250301,"3,61"
AR-V,Tierra del Fuego,"5,92",127205,"0,32"
