,Palabra,Frecuencia
0,jornada,1
1,manifestaciones,1
2,vivió,1
3,rawson,1
4,protagonizada,1
5,reparticiones,1
6,gremiales,1
7,ministerio,1
8,salud,2
9,provincial,2
10,legislatura,2
11,representantes,2
12,distintas,2
13,facciones,1
14,trabajadores,6
15,mantuvieron,1
16,reunión,4
17,vicegobernador,3
18,ricardo,2
19,sastre,5
20,solicitaron,1
21,encuentro,2
22,pactado,1
23,martes,2
24,semana,2
25,viene,1
26,presencia,3
27,27,2
28,diputados,7
29,provinciales,1
30,participaron,1
31,delegados,1
32,soyeap,1
33,sisap,1
34,upcn,1
35,apel,1
36,jubilados,1
37,gremios,3
38,viales,1
39,(sitravich),1
40,judiciales,1
41,(sitrajuch),1
42,representante,1
43,legislativos,1
44,ángel,1
45,sierra,1
46,señores,1
47,9,1
48,exigir,1
49,tratamiento,1
50,juicios,2
51,políticos,2
52,presentado,2
53,gobernador,2
54,diputado,2
55,partido,1
56,justicialista,1
57,carlos,2
58,eliceche,3
59,únicos,1
60,integrantes,2
61,poder,4
62,legislativo,2
63,presente,3
64,reunirse,1
65,estatales,1
66,aclaró,2
67,centró,1
68,leyes,1
69,sindicatos,1
70,venido,1
71,hablando,1
72,quieren,3
73,seguir,2
74,abordando,1
75,situación,3
76,jubilatoria,1
77,aportes,1
78,impuestos,1
79,encuentran,1
80,soluciones,1
81,obviar,1
82,remarcando,1
83,mínimo,1
84,autoridades,1
85,escucharlos,1
86,nexo,1
87,ejecutivo,2
88,ir,1
89,destrabando,1
90,compleja,1
91,vivimos,1
92,chubutenses.en,1
93,reclamo,3
94,vengan,1
95,trabajar,1
96,respondió,1
97,cara,2
98,recordando,1
99,fui,1
100,intendente,1
101,8,1
102,años,1
103,puerto,1
104,madryn,1
105,pasé,1
106,momentos,1
107,complejos,1
108,quizás,1
109,aquel,1
110,historia,1
111,veo,1
112,graves,1
113,atraso,1
114,salarial,1
115,16,1
116,días,1
117,tuve,1
118,municipio,1
119,tomado,1
120,problemas,1
121,deje,1
122,atenderlos,2
123,gente,1
124,vota,1
125,sienta,1
126,tengamos,1
127,respuesta,1
128,podamos,1
129,escuchar,1
130,sepan,1
131,piensan,1
132,resto,1
133,próxima,1
134,somos,1
135,elegidos,1
136,voto,1
137,popular,1
138,sabe,1
139,aquellos,1
140,puedan,1
141,venir,1
142,tengan,1
143,inconvenientes,1
144,sanitaria,1
145,seguramente,1
146,escenario,1
147,(pj),1
148,estarán,1
149,bloque,1
150,juicio,2
151,político,3
152,tema,2
153,instalado,1
154,casa,1
155,entrada,1
156,legislativa,1
157,comisión,2
158,asuntos,1
159,constitucionales,1
160,pasos,2
161,corresponden,1
162,determinar,1
163,analizar,1
164,pedidos,2
165,estado,1
166,obviamente,1
167,caso,1
168,saber,1
169,posición,2
170,curso,1
171,personal,1
172,conoce,1
173,contenido,1
174,integra,1
175,política,2
176,tiempo,1
177,esperando,1
178,convoque,1
179,arco,1
180,ámbito,1
181,laboral,1
182,empresarios,1
183,sectores,1
184,incidencia,1
185,provincia,5
186,pasar,1
187,allí,1
188,determinación,1
189,tomar,2
190,cuáles,1
191,funcionamiento,1
192,rol,1
193,responsabilidad,1
194,conducir,1
195,destinos,1
196,cumplir,1
197,obligaciones,1
198,cumpliendo,1
199,partiendo,1
200,sueldo,1
201,realidad,1
202,marca,1
203,medidas,1
204,solucionarla,1
205,sostuvo,1
206,principal,2
207,cobrar,2
208,salarios,2
209,desesperación,1
